name,scenario,repetition,NumberofVehicles,Type,NodeID,TR,recAddress,x,y,MsgId,CH,Reroute,Speed,Hops,SumoDistance,MsgTime,DistanceToAccident,Delay
"BCN,100-,2",BCN,2,100,node,84,tx,-1,1427.6,1145.73,20762704,176,0,11,1,1032.85,22.4318,387.8283973615135,9.4788
"BCN,150-,2",BCN,2,150,node,4,rx,-1,838.3689999999999,1351.98,47312870,176,0,7,2,282.534,14.8543,281.89916917401536,2.6861999999999995
"BCN,150-,1",BCN,1,150,node,80,rx,-1,810.005,1346.58,35157137,176,0,9,3,863.681,16.0544,302.45749755130885,2.983500000000001
"BCN,100-,0",BCN,0,100,node,57,rx,-1,1438.75,497.61699999999996,9015077,176,0,10,6,1298.91,19.6545,764.2425922238306,6.995499999999998
"BCN,100-,2",BCN,2,100,node,9,rx,-1,1449.55,1124.18,20762704,176,0,12,7,1002.08,22.4543,410.6948219785587,9.5013
"BCN,200-,1",BCN,1,200,node,98,rx,-1,807.765,1376.11,77189829,176,1,6,3,325.795,14.3544,325.0873486080317,2.0723000000000003
"BCN,150-,0",BCN,0,150,node,76,rx,-1,1403.72,1169.16,25079893,176,0,11,3,1069.59,17.0545,362.0389089586919,4.0654
"BCN,200-,2",BCN,2,200,node,130,rx,-1,769.018,1502.83,93795832,176,0,8,4,799.812,15.5546,446.51400390581256,2.794600000000001
"BCN,100-,0",BCN,0,100,node,81,rx,-1,1397.27,569.644,9015077,176,0,10,6,1189.71,19.6545,681.1517054195784,6.995499999999998
"BCN,200-,0",BCN,0,200,node,37,rx,-1,842.323,1348.07,56245784,176,0,7,2,282.116,15.374,281.48634760677106,2.9213000000000005
"BCN,150-,2",BCN,2,150,node,90,rx,-1,802.414,1372.02,47312870,176,1,4,2,328.458,14.8543,321.7376269819868,2.6861999999999995
"BCN,150-,1",BCN,1,150,node,56,rx,-1,859.465,1429.06,35157137,176,1,12,3,390.20099999999996,16.0544,331.79938701721557,2.983500000000001
"BCN,150-,0",BCN,0,150,node,121,rx,-1,1346.65,1167.07,25079893,176,0,7,3,544.434,17.0545,304.93922181313445,4.0654
"BCN,200-,2",BCN,2,200,node,179,rx,-1,750.275,1502.38,93795832,176,0,3,4,818.562,15.5546,457.88640144144944,2.794600000000001
"BCN,200-,0",BCN,0,200,node,29,rx,-1,846.459,1415.79,56245784,176,1,10,2,373.505,15.374,330.1641630477178,2.9213000000000005
"BCN,150-,2",BCN,2,150,node,15,rx,-1,791.961,1362.32,47312870,176,1,6,2,342.88,14.8543,323.1412395547805,2.6861999999999995
"BCN,200-,1",BCN,1,200,node,50,rx,-1,972.857,1485.92,77189829,176,0,10,3,693.732,14.3544,342.42830319499006,2.0723000000000003
"BCN,150-,1",BCN,1,150,node,121,rx,-1,788.0010000000001,1354.03,35157137,176,0,0,3,354.963,16.0544,324.18324790309566,2.983500000000001
"BCN,100-,2",BCN,2,100,node,45,rx,-1,1653.79,907.0089999999999,20762704,176,0,11,7,970.821,22.4543,661.2057735690154,9.5013
"BCN,100-,0",BCN,0,100,node,46,rx,-1,1368.84,597.516,9015077,176,0,7,6,1149.89,19.6545,642.6111840732311,6.995499999999998
"BCN,150-,1",BCN,1,150,node,134,rx,-1,782.61,1353.39,35157137,176,1,0,3,359.338,16.0544,328.0129712374193,2.983500000000001
"BCN,100-,2",BCN,2,100,node,78,rx,-1,1330.14,1347.94,20762704,176,1,10,7,621.901,22.4544,349.98903768546825,9.5014
"BCN,200-,1",BCN,1,200,node,94,rx,-1,971.143,1500.07,77189829,176,0,10,3,596.812,14.3544,356.63545192394986,2.0723000000000003
"BCN,200-,2",BCN,2,200,node,54,rx,-1,719.1160000000001,1492.08,93795832,176,0,9,4,1043.25,15.5546,470.83465492251094,2.794600000000001
"BCN,150-,2",BCN,2,150,node,128,rx,-1,780.931,1351.63,47312870,176,1,5,2,358.50800000000004,14.8543,325.0171654559188,2.6861999999999995
